post_id,title,date,type,audience,delivered,opened,unique_openers,open_rate
"174296966","Wellness 3.0 Meets the Ozempic Era: What We Learned at CG Wells","2025-09-23","newsletter","only_paid",1255,1092,605,48.21
"173841365","The System C Design Dinner Prototype","2025-09-18","newsletter","everyone",1246,1177,640,51.36
"173831464","Starving to Heal or DIY Healthcare?","2025-09-17","newsletter","everyone",1250,1380,633,50.64
"173689867","It's Not About Incentives - $10T Is In Front of Us","2025-09-16","newsletter","everyone",1256,1191,646,51.43
"173353312","Data for the weekend: Sept 12, 2025","2025-09-13","newsletter","everyone",1252,1129,632,50.48
"173212834","MAHA Strategy Takeaways","2025-09-11","newsletter","everyone",1243,2022,678,54.55
"173228312","The Flip the Switch Moment: Yuka","2025-09-10","newsletter","everyone",1246,1143,585,46.95
"173207999","Breaking News - MAHA Strategy Released","2025-09-09","newsletter","everyone",1240,1406,657,52.98
"173130088","76.4% of Americans Now Have a Chronic Disease - Breaking Down RFK Jr. Testimony ","2025-09-09","newsletter","everyone",1243,1253,658,52.94
"172256457","Data for the Weekend Sept 5, 2025: Cracks in the Chronic Disease Business Model Armor","2025-09-05","newsletter","everyone",1238,1257,630,50.89
"172706143","Wall Street Just Blinked at Food Is Health","2025-09-04","newsletter","everyone",1228,1452,654,53.26
"172582034","When ""Good"" Cottage Cheese Creates a Category","2025-09-03","newsletter","everyone",1224,1697,669,54.66
"172524324","Yep - That Was My Popocorn Bucket","2025-09-02","newsletter","everyone",1223,1183,606,49.55
"172427174","The Metabolic Imperative: A Strategic Framework for the Future of Food","2025-08-31","newsletter","only_paid",1215,1068,597,49.14
"172161951","Data for the Weekend August 29, 2025: Reformulation","2025-08-29","newsletter","everyone",1210,1129,559,46.2
"172133125","How to Fix Processed Food","2025-08-28","newsletter","everyone",1192,2262,630,52.85
"172003187","Let's Move to Activation","2025-08-27","newsletter","everyone",1201,1127,632,52.62
"171965810","Flipping the 3.5% to Turn Daunting to Doable","2025-08-26","newsletter","everyone",1210,1455,629,51.98
"171595043","August 22, 2025 News Bits and Data: Debating labels while influencers reign supreme","2025-08-22","newsletter","everyone",1189,1245,573,48.19
"171511057","Deep Dive: The Week the Path Came Into Focus - Part II","2025-08-21","podcast","everyone",1192,1390,630,52.85
"171400600","Deep Dive: The Week the Path Came Into Focus - Part I","2025-08-20","podcast","everyone",1193,1131,621,52.05
"171308977","When 25 Years Hits Differently","2025-08-19","newsletter","everyone",1182,1097,623,52.71
"171152317","FutureCast: When Healthcare Waste Became Community Wealth","2025-08-17","newsletter","everyone",1176,980,563,47.87
"171012676","Food Is Health: The Week the Path Came Into Focus","2025-08-15","newsletter","everyone",1174,2087,619,52.73
"170941706","A Bright Spot of New Funding for Nutrition via Head Start","2025-08-14","newsletter","everyone",1166,1292,626,53.69
"170838468","C-Span Livestream, Delayed MAHA Report & A Mariachi Band","2025-08-13","newsletter","everyone",1167,1006,619,53.04
"170716417","The Heartland Mart Framework ","2025-08-12","newsletter","everyone",1162,1077,606,52.15
"170457584","Future Cast: The Last Prescription","2025-08-09","podcast","everyone",1153,933,540,46.83
"170082197","August 8, 2025 News Bits and Data","2025-08-08","newsletter","everyone",1146,1060,610,53.23
"170278236","Making Drugs Affordable Again...","2025-08-07","newsletter","everyone",1141,1472,587,51.45
"170212789","Grok Unhingeds Take On Making Health Tech Great Again","2025-08-06","newsletter","everyone",1138,2747,624,54.83
"169455439","Redesigning Medicare?","2025-08-05","newsletter","everyone",1136,1042,596,52.46
"169835334","FutureCast: How America's Public Lands Became the World's Proving Ground for Healthy Beef ","2025-08-02","podcast","everyone",1120,1251,529,47.23
"169621921","August 1, 2025 News Bits and Data","2025-08-01","newsletter","everyone",1112,1217,595,53.51
"169676664","Oreos, Artificial Insemination, and the Coming Split in the Food System","2025-07-31","newsletter","everyone",1114,1016,582,52.24
"169571047","A New Health Tech Ecosystem?","2025-07-30","newsletter","everyone",1114,1142,566,50.81
"169452228","Three-pronged Attack on the Chronic Disease Epidemic","2025-07-29","newsletter","everyone",1110,1178,589,53.06
"169261241","FutureCast: How Nutrition & Heartland Mart Went On to End America's Chronic Disease Epidemic","2025-07-27","newsletter","everyone",1103,1082,516,46.78
"169134593","July 25, 2025 News Bits and Data","2025-07-25","newsletter","everyone",1098,1152,502,45.72
"169088901","Superpower ""World’s First Health Super-App""","2025-07-24","newsletter","everyone",1093,2815,518,47.39
"168993123","Profoud Study About The Food We Eat & A Stark Reminder","2025-07-23","newsletter","everyone",1091,1034,570,52.25
"168907096","Do People Want to Eat Better?","2025-07-22","newsletter","everyone",1080,1660,571,52.87
"168685511","Future Cast: Food is Health Evolution, Fixing Soil and Food","2025-07-19","newsletter","everyone",1059,979,508,47.97
"168591832","July 18, 2025 News Bits","2025-07-18","newsletter","everyone",1049,1092,548,52.24
"168476008","Farmers Are Lead Actors In Prevention ","2025-07-17","newsletter","everyone",1048,1472,548,52.29
"168433935","Sleep Scores Don’t Lie","2025-07-16","newsletter","everyone",1047,1092,562,53.68
"168351332","The Food Is Health RFI Response","2025-07-15","newsletter","everyone",1040,1314,532,51.15
"168114170","FutureCast: The Healthspan Revolution: When Living Became Thriving","2025-07-12","newsletter","everyone",1028,824,444,43.19
"168030652","The Two-Front Battle to Make America Healthy","2025-07-11","newsletter","everyone",1023,1185,573,56.01
"167941789","July 10 News Bits: Rural Healthcare After Cuts","2025-07-10","newsletter","everyone",1016,1021,553,54.43
"167822251","We aren't going back","2025-07-09","newsletter","everyone",1011,1180,557,55.09
"167235247","One Big Beautiful Bill or Beautiful Nightmare ""Act""?","2025-07-08","newsletter","everyone",999,1040,499,49.95
"167180463","FutureCast: Heartland Mart - How A Dollar Store Chain Revolutionized American Health","2025-07-05","newsletter","everyone",981,1089,469,47.81
"167176426","July 3 Friday News Bits: Big Beautiful Bill","2025-07-03","newsletter","everyone",981,914,538,54.84
"167235189","HHS RFI - It's Time Our Food Is Health Group ""Speaks Up""","2025-07-02","newsletter","everyone",977,886,469,48
"167001194","Being Healthy Is A Stupid Idea ","2025-07-01","newsletter","everyone",977,891,495,50.67
"166862422","Future Cast: The Great Health Data Liberation","2025-06-28","newsletter","everyone",971,889,484,49.85
"166901644","Friday News Bits: Longevity","2025-06-27","newsletter","everyone",965,966,535,55.44
"166858344","RFK Jrs Vision of Every American With A Wearble w/in 4 Years","2025-06-26","newsletter","everyone",964,1090,505,52.39
"166720828","Eat Real Food, That's What We Do","2025-06-25","newsletter","everyone",961,1202,507,52.76
"166686914","The Viral Fruit Cup Post","2025-06-24","newsletter","everyone",951,926,475,49.95
"166530218","Is the emerging Longevity Market just as bad as Healthcare?","2025-06-23","newsletter","everyone",938,917,507,54.05
"166433667","📈Data For The Weekend: What Happened to the Food and Health of our Youth?","2025-06-21","newsletter","everyone",934,922,522,55.89
"166332480","Friday: Food is Health News Bits 6/20/25","2025-06-20","newsletter","everyone",935,835,486,51.98
"166248091","The Father of Natural Medicine Speaks: Why Toxins, Not Genes, Are Driving the Chronic Disease Epidemic","2025-06-19","newsletter","everyone",931,972,502,53.92
"166195299","Urgently Seeking 50 Primary Care Physicians by July 31","2025-06-18","newsletter","everyone",927,6349,546,58.9
"166118122","Frams: Fresh Local, but No Local ","2025-06-17","newsletter","everyone",916,1432,508,55.46
"166038101","An Ecosystem & Economic Flywheel for System C?","2025-06-16","newsletter","everyone",907,1659,483,53.25
"165893830","📈Data For The Weekend: Hidden Challenges Slowing Food is Health","2025-06-14","newsletter","everyone",904,1087,441,48.78
"165440950","Friday: Food is Health News Bits","2025-06-13","newsletter","everyone",899,828,475,52.84
"165750865","Decoding the FY26 Administration for a Healthy America (AHA) Budget Request for Food‑as‑Health Builders","2025-06-12","newsletter","everyone",893,2150,489,54.76
"164884266","The Science of Cellular Rejuvenation Through Fasting-Mimicking Diets","2025-06-11","newsletter","everyone",892,779,473,53.03
"164831824","Your Blood Is Telling You How To Live Longer","2025-06-10","newsletter","everyone",886,798,466,52.6
"164880047","The Farmers Truck Revolution","2025-06-09","newsletter","everyone",881,836,490,55.62
"165383881","🌏Data for the Weekend: Chronic Disease Insights from China ","2025-06-07","newsletter","everyone",872,814,436,50
"164908650","Friday: Food is Health News Bits","2025-06-06","newsletter","everyone",869,847,446,51.32
"165123348","Investing in the Soil Health Revolution","2025-06-05","newsletter","everyone",855,2448,465,54.39
"165117857","The Five Forces Toppling the Healthcare System","2025-06-04","newsletter","everyone",847,1408,464,54.78
"165037839","AI’s Promise and Peril for Food is Health","2025-06-03","newsletter","everyone",844,1005,453,53.67
"164847585","The MAHA Report Criticism","2025-06-02","newsletter","everyone",843,1313,494,58.6
"164846864","🧬Data for the Weekend: Biomarkers for Longevity","2025-05-31","newsletter","everyone",840,988,464,55.24
"164771165","Social Posts","2025-05-30","newsletter","everyone",838,820,450,53.7
"164637158","When Healthcare Leaves You Stranded","2025-05-29","newsletter","everyone",834,799,441,52.88
"164591041","How I Used AI to Personalize My Heart Disease Risk and Why It Changed Everything","2025-05-28","restack","everyone",809,990,448,55.38
"164512642","What Exactly Should We Eat?","2025-05-27","newsletter","everyone",831,772,426,51.26
"164446794","Enjoy Memorial Day (and some reading?)","2025-05-26","newsletter","everyone",829,792,456,55.01
"164235142","📈Data For The Weekend: ""One, Big, Beautiful Bill"" ","2025-05-24","newsletter","everyone",823,827,420,51.03
"164226962","The Big Beautiful Bill ","2025-05-23","newsletter","everyone",822,872,468,56.93
"164130746","On The Road with Food is Health","2025-05-22","newsletter","everyone",822,1589,435,52.92
"164069839","Standing Room Only In DC","2025-05-21","newsletter","everyone",814,1145,473,58.11
"163945230","AI and My Health Journey: How ChatGPT Helped Me Decode My Blood Sugar Mystery","2025-05-20","newsletter","everyone",811,857,452,55.73
"163903790","Healthcare ""It's Personal"" - But It's Not","2025-05-19","newsletter","everyone",810,1203,450,55.56
"163656026","📈Data for The Weekend: The Bible Tells Us So","2025-05-17","newsletter","everyone",811,895,471,58.08
"163634221","What We Learned by Ellen ""Stepping In It"" Today on Linked In","2025-05-16","newsletter","everyone",802,809,431,53.74
"163584519","Game On - Two RFIs in Healthcare","2025-05-15","newsletter","everyone",788,804,404,51.27
"163512831","Two Headlines. One Underlying Theme.","2025-05-14","newsletter","everyone",784,888,418,53.32
"163436590","Drug Prices Too ""Expletive"" High?","2025-05-13","newsletter","everyone",787,896,424,53.88
"163361878","What Investors and Entrepreneurs should learn from Whoop","2025-05-12","newsletter","everyone",777,782,453,58.3
"163327285","Data For The Weekend","2025-05-11","newsletter","everyone",774,989,427,55.17
"163181892","Could We See A Surgeon General Warning On UPFs?","2025-05-09","podcast","everyone",766,908,430,56.14
"163105831","Inside the Food Is Health Innovation Lab at LIVE 2025","2025-05-08","newsletter","everyone",753,4891,439,58.3
"163031441","New Healthcare Delivery System or Shiny Object?","2025-05-07","newsletter","everyone",743,635,275,37.01
"162763230","Part I - System C - HEALTH(care)","2025-05-06","newsletter","everyone",741,789,411,55.47
"162620982","System B: The Financial Misalignment of Health","2025-05-05","newsletter","everyone",741,667,370,49.93
"162734616","📈Data for The Weekend: The Evolution of Food and Health - Systems A and B","2025-05-03","newsletter","everyone",743,489,267,35.94
"162659997","Study: GLP-1s Lower Healthcare Costs","2025-05-02","newsletter","everyone",738,1087,423,57.32
"162585665","A $20M+ MAHA Commercial Break","2025-05-01","newsletter","everyone",740,965,409,55.27
"162427056","System B: Keep People Alive At Any Cost","2025-04-30","newsletter","everyone",737,755,412,55.9
"162374160","Part II: System A - Inherently Healthy","2025-04-29","newsletter","everyone",737,755,415,56.31
"162293101","Part I: System A, System B & System C of Healthcare","2025-04-28","newsletter","everyone",734,735,406,55.31
"162168797","📈Data for The Weekend: Behavior Change and Health Outcomes","2025-04-26","newsletter","everyone",735,754,399,54.29
"162083408","Prolon Day 3 (Fast Mimicking Diet) ","2025-04-25","newsletter","everyone",736,775,404,54.89
"161984859","The Hottly Debated ""Medicaid Cuts""","2025-04-24","newsletter","everyone",732,1136,404,55.19
"161934877","Food Is Health ""Innovation Lab"" - Join Us","2025-04-23","newsletter","everyone",730,805,407,55.75
"161825657","Beyond Abundance: Eerie Parallels between ""Universe 25"" & Chronic Disease","2025-04-22","newsletter","everyone",726,782,423,58.26
"161768867","Errata: HHS Reimagined: RFK Jr.’s Bold Plan to Fix Food and End Chronic Disease","2025-04-21","newsletter","everyone",718,1751,426,59.33
"161578998","Disruption at NIH","2025-04-18","newsletter","everyone",710,862,415,58.45
"161578484","Have NIH Priorities Led to Sickcare aka Healthcare?","2025-04-17","newsletter","everyone",710,626,355,50
"161500401","How Did Health Insurance Become The Deathstar?","2025-04-17","newsletter","everyone",713,778,404,56.66
"161409880","Principles of Food Is Health for System C","2025-04-16","newsletter","everyone",713,1242,394,55.26
"161353451","What's Wrong with Healthcare In One Quote","2025-04-15","newsletter","everyone",713,764,402,56.38
"161268798","Is Our Diagnostic Standard of Care a Dinosaur?","2025-04-14","newsletter","everyone",712,663,385,54.07
"161148779","📈Data for the Weekend: Standard of Care","2025-04-12","newsletter","everyone",708,730,390,55.08
"161059979","System C: The Food System Reimagined","2025-04-11","newsletter","everyone",708,730,394,55.65
"160818379","Part II - The Deathstar - The Science","2025-04-10","newsletter","everyone",706,759,391,55.38
"160812817","Part I - The Addictive Junk Food Empire","2025-04-09","newsletter","everyone",700,824,391,55.86
"160823228","How Much Would You Pay for an Avocado?","2025-04-08","newsletter","everyone",697,680,382,54.81
"160765966","Maybe a Broccoli Superbowl Commercial Isn't Off the Table","2025-04-07","newsletter","everyone",695,753,392,56.4
"160625742","📈Data for The Weekend: Digging into Victory Garden Revival","2025-04-05","newsletter","everyone",690,679,383,55.51
"160551234","The Victory Garden Movement : Then, Now, and the Future of a Healthier America","2025-04-04","restack","everyone",680,671,363,53.38
"160469659","Is Healthcare as Ultraprocessed as Food?","2025-04-03","newsletter","everyone",686,720,385,56.12
"160384852","Addressing the Pillars of Health","2025-04-02","podcast","everyone",683,806,379,55.49
"160290101","The Importance of Controversial Conversations","2025-04-01","newsletter","everyone",682,620,347,50.88
"159948503","Optimal dietary patterns for healthy aging","2025-03-31","newsletter","everyone",673,787,370,54.98
"160101850","📈Data for The Weekend: Health and Human Services","2025-03-29","newsletter","everyone",664,772,382,57.53
"160044581","HHS Announces ""Transformation to Make America Healthy Again""","2025-03-28","newsletter","everyone",661,1010,374,56.58
"159942256","Affordable Nutrition is More than Food","2025-03-27","newsletter","everyone",660,735,372,56.36
"159872995","Fan Favorites & Feedback","2025-03-26","newsletter","everyone",657,628,344,52.36
"159755217","The Food as Human Health & Healthcare Mindset Shift ","2025-03-25","newsletter","everyone",652,762,370,56.75
"159688157","Overseas Observations Food & Health","2025-03-24","newsletter","everyone",647,665,356,55.02
"159579133","Cost-Benefit Analysis: Commodity Crops vs. Diverse Nutrient-Dense Cropping ","2025-03-23","newsletter","only_paid",648,883,357,55.09
"159571164","📈Data for the Weekend: Who’s Really Shaping What You Eat?","2025-03-22","newsletter","everyone",647,748,365,56.41
"159476460","Novo and Lilly’s Price Games Are Slowing a Health Revolution","2025-03-21","newsletter","everyone",647,1142,349,53.94
"159399720","Health headlines are different across the pond","2025-03-20","newsletter","everyone",643,671,371,57.7
"159378360","Eat Real Food","2025-03-19","newsletter","everyone",647,655,332,51.31
"159296516","Does healthy food have to cost more than unhealthy food?","2025-03-18","newsletter","everyone",649,1003,366,56.39
"159187318","Critical Thinking: Questions for the Week","2025-03-17","newsletter","everyone",651,717,364,55.91
"159083225","📈Data for the Weekend: Accelerating Change","2025-03-15","newsletter","everyone",648,722,366,56.48
"159035583","Food Is Health Just Needs A Voice","2025-03-14","newsletter","everyone",637,1044,375,58.87
"158963888","A Magical Day On The Hill","2025-03-13","newsletter","everyone",630,1033,366,58.1
"158864180","Crushing Blow for Local Regenerative Farmers and Food Is Medicine","2025-03-12","newsletter","everyone",625,949,377,60.32
"158812105","Don't Kill the Message Just Because of the Messenger","2025-03-11","newsletter","everyone",619,865,343,55.41
"158741993","The Deeply Personal Dementia Tsunami","2025-03-10","newsletter","everyone",612,657,321,52.45
"158624558","📈Data for the Weekend: Food is Trade","2025-03-08","newsletter","everyone",603,917,337,55.89
"158520887","Novo Announces $499/mo cashpay","2025-03-07","newsletter","everyone",604,731,324,53.64
"158455320","Deep Dive: Food Power","2025-03-06","newsletter","everyone",604,1149,324,53.64
"158398208","French Fries The Poster Child of Change","2025-03-05","newsletter","everyone",601,699,341,56.74
"158328101","Is The Mighty Mitochondria The Decoder Ring?","2025-03-04","newsletter","everyone",592,626,334,56.42
"158253889","Are we too fixated on scientific data?","2025-03-03","newsletter","everyone",589,614,336,57.05
"158135659","📈Data for the Weekend: Sleep is Health","2025-03-02","newsletter","everyone",587,637,338,57.58
"158074171","Healthcare Can’t Solve Chronic Disease without Food & Ag ","2025-02-28","newsletter","everyone",578,697,321,55.54
"157995247","U.S. Healthcare Costs vs Longevity","2025-02-27","newsletter","everyone",575,625,311,54.09
"157927277","Sleep - N of 1 at it's finest","2025-02-26","newsletter","everyone",571,4417,324,56.74
"157837778","Imperfect Knowledge: The Mouse that Roared","2025-02-25","newsletter","everyone",564,700,319,56.56
"157777654","AI Primary Care + Wearables…","2025-02-24","newsletter","everyone",548,662,316,57.66
"157622118","📈Data for the Weekend: Feb 21, 2025 ","2025-02-22","newsletter","everyone",535,662,312,58.32
"157574708","Food Is Health Not Just Medicine","2025-02-21","newsletter","everyone",524,956,315,60.11
"157566284","Food is Health: A Note on Deeper Research","2025-02-20","newsletter","only_paid",26,44,20,76.92
"157512110","Customer Lifetime Value of Metabolic Syndrome","2025-02-20","newsletter","everyone",511,1338,298,58.32
"157429606","Is It Time for the Sledgehammer?","2025-02-19","newsletter","everyone",502,635,283,56.37
"157353631","Vive day 2: What we are Hearing","2025-02-18","newsletter","everyone",475,742,275,57.89
"157295746","Will Ag Be On the Mainstage at the Biggest Healthcare Conference Next Year?","2025-02-17","newsletter","everyone",434,546,258,59.45
"156136084","📈Data for the Weekend: Feb 15, 2025","2025-02-15","newsletter","everyone",374,733,219,58.56
"156497139","What would JFK Do? ","2025-02-14","newsletter","everyone",366,442,210,57.38
"157123586","Breaking: Executive Order for MAHA Commission","2025-02-14","newsletter","everyone",367,1061,238,64.85
"157033106","SNAP: The Backbone of America's Food System?","2025-02-13","newsletter","everyone",356,741,207,58.15
"156964834","The Enemy is Chronic Disease","2025-02-12","newsletter","everyone",347,565,205,59.08
"156902215","Miss the Broccoli Superbowl Commercial?","2025-02-11","newsletter","everyone",343,395,194,56.56
"156800686","The Egg Prices are too Damn High","2025-02-10","newsletter","everyone",341,422,209,61.29
"156705055","📈Data for The Weekend: Nutrition Density","2025-02-08","newsletter","everyone",328,426,204,62.2
"156643085","Food is Health: Who decides? Consumers, Science or Evolution? ","2025-02-07","newsletter","everyone",324,374,173,53.4
"156554016","N of 1: 10 Products for Early Adopters","2025-02-06","newsletter","everyone",307,472,195,63.52
"156489970","Food is Health: What others are Thinking","2025-02-05","newsletter","everyone",303,383,174,57.43
"156428237","Can Kirkland End the Chronic Disease Epidemic?","2025-02-04","restack","everyone",283,550,161,56.89
"156181216","To fix health, we need to fix food but that isn't enough...","2025-02-03","newsletter","everyone",284,342,161,56.69
"155592949","📈Data for The Weekend: Chronic Disease","2025-01-31","newsletter","everyone",262,375,148,56.49
"156036859","Food is Health: Reading Something Different","2025-01-30","newsletter","everyone",258,416,155,60.08
"155200226","The Great Label Debate","2025-01-29","podcast","everyone",248,316,145,58.47
"155872561","A Healthcare Simpleton's Take On DeepSeek’s Big AI Leap","2025-01-28","newsletter","everyone",241,271,137,56.85
"155799364","Sputnik Moment: DeepSeek’s Big AI Leap","2025-01-27","newsletter","everyone",235,346,129,54.89
"155555246","📈Data for The Weekend ","2025-01-24","newsletter","everyone",219,240,119,54.34
"155166031","A Few Food is Health Related Substacks ","2025-01-23","newsletter","everyone",214,253,124,57.94
"155389357","AI’s New Frontier in Personalized Nutrition and Health: A Tutorial","2025-01-22","newsletter","everyone",206,292,104,50.49
"155183538","Unmasking the USDA Dietary Guidelines: Leveraging AI to Propose New Standards","2025-01-21","newsletter","everyone",201,265,121,60.2
"155199356","Will we disrupt healthcare or overrule disruption?","2025-01-20","newsletter","everyone",193,290,119,61.66
"154778210","A Systematic Approach to the Food Is Health Revolution","2025-01-18","podcast","everyone",171,229,100,58.48
"154777936","📈Data for The Weekend ","2025-01-17","newsletter","everyone",158,219,89,56.33
"154491890","Innovations in FIH: Startups Part 1","2025-01-16","newsletter","everyone",145,189,83,57.24
"154779666","Fairlife of X","2025-01-15","newsletter","everyone",141,188,73,51.77
"154778043","Can Big Ag, Food, and Health Make America Healthy Again?","2025-01-14","newsletter","everyone",137,194,76,55.47
"154697160","Food, Feed, and Fuel","2025-01-13","newsletter","everyone",131,210,84,64.12
"154488184","Healthspan: Plan Your Decades, Not Just Your Years","2025-01-10","newsletter","everyone",125,132,78,62.4
"154400767","The Great Healthcare Shift: From Disease Management to Prevention","2025-01-09","newsletter","everyone",117,267,77,65.81
"154293438","Key Figures in the FIH Movement: Doctors","2025-01-08","newsletter","everyone",118,320,68,57.63
"154247016","The GLP-1 Revolution: How Appetite-Suppressing Drugs Are Changing Diets and Disrupting the Food Industry","2025-01-07","newsletter","everyone",112,157,69,61.61
"154235603","Seed Oils","2025-01-06","newsletter","everyone",102,133,62,60.78
"154149689","The Food is Health Revolution - Network","2025-01-04","newsletter","everyone",78,95,46,58.97
"154088056","Food Is Health: Reflecting on 2024 and Looking Ahead to 2025","2025-01-03","podcast","everyone",76,130,52,68.42
"152926476","Foodishealth.ai","2024-12-17","newsletter","everyone",72,97,43,59.72
"152980615","Food Is Health Policy: A National Imperative","2024-12-11","podcast","everyone",68,110,43,63.24
"152031392","Toxins and Our Health with Dr. Joseph Pizzorno","2024-11-22","podcast","everyone",54,57,26,48.15
"150677518","Transforming Health By Meeting People Where They Are","2024-10-29","podcast","everyone",44,104,18,40.91
"149636667","Better Health from the Ground Up with Matt Moreland","2024-10-01","podcast","everyone",39,71,23,58.97
"148354174","SoftLaunch: Food is Health Revolution Podcast","2024-08-31","newsletter","everyone",34,64,21,61.76
